ID,Trips_Per_Day,Distance_Travelled_PassengerKm_Per_Day,Time_Travelled_Minutes_Per_Day,Trips_Per_Year,Distance_Travelled_PassengerKm_Per_Year,Time_Travelled_Hours_Per_Year,TravelMotives,Population,TravelModes,Margins,RegionCharacteristics,Period
491,1.08,18.01,25.53,393.0,6573.0,155.3,Total,Population 6 years or older,Passenger car (driver),Value,Noord-Brabant (PV),2023
492,1.12,16.15,23.11,407.0,5894.0,140.6,Total,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2018
493,1.15,16.05,23.52,420.0,5859.0,143.1,Total,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2019
494,1.01,13.39,20.36,371.0,4901.0,124.2,Total,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2020
495,0.96,13.92,20.05,349.0,5079.0,122.0,Total,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2021
496,1.05,15.3,22.38,383.0,5584.0,136.2,Total,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2022
497,1.15,15.21,22.7,419.0,5553.0,138.1,Total,Population 6 years or older,Passenger car (driver),Value,Limburg (PV),2023
498,0.66,13.47,19.42,240.0,4918.0,118.2,Total,Population 6 years or older,Passenger car (driver),Value,Extremely urbanised,2018
499,0.63,12.65,18.47,230.0,4616.0,112.4,Total,Population 6 years or older,Passenger car (driver),Value,Extremely urbanised,2019
500,0.52,9.2,13.84,189.0,3368.0,84.4,Total,Population 6 years or older,Passenger car (driver),Value,Extremely urbanised,2020
501,0.54,9.67,14.87,197.0,3528.0,90.4,Total,Population 6 years or older,Passenger car (driver),Value,Extremely urbanised,2021
502,0.6,10.7,16.35,218.0,3907.0,99.4,Total,Population 6 years or older,Passenger car (driver),Value,Extremely urbanised,2022
503,0.59,10.8,16.58,214.0,3942.0,100.9,Total,Population 6 years or older,Passenger car (driver),Value,Extremely urbanised,2023
504,0.97,18.56,25.04,353.0,6775.0,152.3,Total,Population 6 years or older,Passenger car (driver),Value,Strongly urbanised,2018
505,0.96,18.04,24.82,349.0,6584.0,151.0,Total,Population 6 years or older,Passenger car (driver),Value,Strongly urbanised,2019
506,0.8,13.22,18.88,293.0,4840.0,115.2,Total,Population 6 years or older,Passenger car (driver),Value,Strongly urbanised,2020
507,0.82,14.04,20.14,301.0,5124.0,122.5,Total,Population 6 years or older,Passenger car (driver),Value,Strongly urbanised,2021
508,0.86,15.25,21.75,316.0,5567.0,132.3,Total,Population 6 years or older,Passenger car (driver),Value,Strongly urbanised,2022
509,0.91,16.01,22.99,333.0,5845.0,139.8,Total,Population 6 years or older,Passenger car (driver),Value,Strongly urbanised,2023
510,1.06,18.54,25.32,385.0,6768.0,154.0,Total,Population 6 years or older,Passenger car (driver),Value,Moderately urbanised,2018
511,1.06,19.44,26.38,386.0,7097.0,160.5,Total,Population 6 years or older,Passenger car (driver),Value,Moderately urbanised,2019
512,0.93,14.17,20.09,340.0,5187.0,122.6,Total,Population 6 years or older,Passenger car (driver),Value,Moderately urbanised,2020
513,0.93,15.2,21.78,341.0,5547.0,132.5,Total,Population 6 years or older,Passenger car (driver),Value,Moderately urbanised,2021
514,0.98,16.26,23.15,357.0,5936.0,140.8,Total,Population 6 years or older,Passenger car (driver),Value,Moderately urbanised,2022
515,1.05,17.84,24.9,384.0,6511.0,151.4,Total,Population 6 years or older,Passenger car (driver),Value,Moderately urbanised,2023
516,1.14,21.33,27.83,415.0,7786.0,169.3,Total,Population 6 years or older,Passenger car (driver),Value,Hardly urbanised,2018
517,1.13,20.91,27.48,413.0,7632.0,167.2,Total,Population 6 years or older,Passenger car (driver),Value,Hardly urbanised,2019
518,0.98,15.48,21.4,360.0,5667.0,130.5,Total,Population 6 years or older,Passenger car (driver),Value,Hardly urbanised,2020
519,1.02,16.66,23.18,371.0,6081.0,141.0,Total,Population 6 years or older,Passenger car (driver),Value,Hardly urbanised,2021
520,1.06,18.26,24.73,385.0,6666.0,150.4,Total,Population 6 years or older,Passenger car (driver),Value,Hardly urbanised,2022
521,1.13,19.81,26.75,413.0,7232.0,162.7,Total,Population 6 years or older,Passenger car (driver),Value,Hardly urbanised,2023
522,1.14,21.33,27.3,415.0,7787.0,166.1,Total,Population 6 years or older,Passenger car (driver),Value,Not urbanised,2018
523,1.18,23.8,30.21,430.0,8687.0,183.8,Total,Population 6 years or older,Passenger car (driver),Value,Not urbanised,2019
524,1.01,17.06,22.57,371.0,6244.0,137.7,Total,Population 6 years or older,Passenger car (driver),Value,Not urbanised,2020
525,1.0,19.38,24.22,365.0,7074.0,147.3,Total,Population 6 years or older,Passenger car (driver),Value,Not urbanised,2021
526,1.07,19.09,25.18,389.0,6968.0,153.2,Total,Population 6 years or older,Passenger car (driver),Value,Not urbanised,2022
527,1.15,21.43,27.4,421.0,7821.0,166.7,Total,Population 6 years or older,Passenger car (driver),Value,Not urbanised,2023
792,0.32,6.66,9.28,118.0,2431.0,56.5,Total,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2018
793,0.31,6.65,9.38,114.0,2429.0,57.1,Total,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2019
794,0.24,4.37,6.66,88.0,1598.0,40.6,Total,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2020
795,0.26,5.1,7.81,94.0,1860.0,47.5,Total,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2021
796,0.28,5.46,8.12,102.0,1991.0,49.4,Total,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2022
797,0.3,6.04,8.72,110.0,2203.0,53.1,Total,Population 6 years or older,Passenger car (passenger),Value,The Netherlands,2023
798,0.35,8.3,10.88,128.0,3031.0,66.2,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Nederland (LD),2018
799,0.32,9.11,11.13,117.0,3324.0,67.7,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Nederland (LD),2019
800,0.28,5.09,7.56,101.0,1864.0,46.1,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Nederland (LD),2020
801,0.27,6.35,9.51,99.0,2320.0,57.9,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Nederland (LD),2021
802,0.28,6.43,8.71,104.0,2347.0,53.0,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Nederland (LD),2022
803,0.3,6.48,8.67,109.0,2367.0,52.7,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Nederland (LD),2023
804,0.34,7.18,9.64,124.0,2621.0,58.6,Total,Population 6 years or older,Passenger car (passenger),Value,Oost-Nederland (LD),2018
805,0.32,6.8,9.84,118.0,2483.0,59.9,Total,Population 6 years or older,Passenger car (passenger),Value,Oost-Nederland (LD),2019
806,0.25,4.59,6.94,93.0,1678.0,42.3,Total,Population 6 years or older,Passenger car (passenger),Value,Oost-Nederland (LD),2020
807,0.27,5.51,8.15,98.0,2010.0,49.6,Total,Population 6 years or older,Passenger car (passenger),Value,Oost-Nederland (LD),2021
808,0.3,6.06,8.85,111.0,2213.0,53.8,Total,Population 6 years or older,Passenger car (passenger),Value,Oost-Nederland (LD),2022
809,0.32,6.89,9.33,119.0,2513.0,56.8,Total,Population 6 years or older,Passenger car (passenger),Value,Oost-Nederland (LD),2023
810,0.29,6.14,8.78,107.0,2241.0,53.4,Total,Population 6 years or older,Passenger car (passenger),Value,West-Nederland (LD),2018
811,0.29,6.2,9.05,106.0,2263.0,55.0,Total,Population 6 years or older,Passenger car (passenger),Value,West-Nederland (LD),2019
812,0.21,4.18,6.39,78.0,1531.0,39.0,Total,Population 6 years or older,Passenger car (passenger),Value,West-Nederland (LD),2020
813,0.24,5.0,7.66,88.0,1823.0,46.6,Total,Population 6 years or older,Passenger car (passenger),Value,West-Nederland (LD),2021
814,0.25,5.08,7.71,91.0,1854.0,46.9,Total,Population 6 years or older,Passenger car (passenger),Value,West-Nederland (LD),2022
815,0.27,5.55,8.35,99.0,2025.0,50.8,Total,Population 6 years or older,Passenger car (passenger),Value,West-Nederland (LD),2023
816,0.36,6.54,9.29,132.0,2387.0,56.5,Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Nederland (LD),2018
817,0.34,6.38,8.86,125.0,2328.0,53.9,Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Nederland (LD),2019
818,0.27,4.22,6.56,99.0,1546.0,40.0,Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Nederland (LD),2020
819,0.28,4.33,7.0,101.0,1580.0,42.6,Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Nederland (LD),2021
820,0.32,5.25,8.03,115.0,1915.0,48.8,Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Nederland (LD),2022
821,0.34,6.09,9.0,124.0,2222.0,54.7,Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Nederland (LD),2023
822,0.35,7.95,11.43,129.0,2902.0,69.6,Total,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2018
823,0.27,8.07,9.81,99.0,2944.0,59.7,Total,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2019
824,0.24,4.7,7.19,89.0,1720.0,43.8,Total,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2020
825,0.23,5.91,8.6,83.0,2157.0,52.3,Total,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2021
826,0.28,6.61,8.79,104.0,2414.0,53.5,Total,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2022
827,0.28,5.76,7.86,101.0,2101.0,47.8,Total,Population 6 years or older,Passenger car (passenger),Value,Groningen (PV),2023
828,0.33,8.65,11.19,122.0,3156.0,68.1,Total,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2018
829,0.34,10.53,12.39,123.0,3845.0,75.4,Total,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2019
830,0.29,4.75,7.52,106.0,1740.0,45.9,Total,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2020
831,0.27,6.71,9.51,100.0,2449.0,57.9,Total,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2021
832,0.3,6.67,8.87,108.0,2435.0,54.0,Total,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2022
833,0.3,6.83,9.2,111.0,2493.0,55.9,Total,Population 6 years or older,Passenger car (passenger),Value,Fryslân (PV),2023
834,0.37,8.28,9.82,134.0,3021.0,59.7,Total,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2018
835,0.36,8.47,11.05,130.0,3090.0,67.2,Total,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2019
836,0.3,6.01,8.05,109.0,2200.0,49.1,Total,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2020
837,0.32,6.42,10.6,117.0,2343.0,64.5,Total,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2021
838,0.27,5.89,8.42,99.0,2150.0,51.2,Total,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2022
839,0.31,6.9,8.93,114.0,2517.0,54.3,Total,Population 6 years or older,Passenger car (passenger),Value,Drenthe (PV),2023
840,0.34,7.15,9.38,123.0,2611.0,57.1,Total,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2018
841,0.32,7.47,9.87,116.0,2728.0,60.1,Total,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2019
842,0.25,4.12,6.75,91.0,1507.0,41.2,Total,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2020
843,0.27,5.01,7.99,99.0,1830.0,48.6,Total,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2021
844,0.29,5.61,7.78,107.0,2046.0,47.3,Total,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2022
845,0.32,6.87,9.13,117.0,2509.0,55.6,Total,Population 6 years or older,Passenger car (passenger),Value,Overijssel (PV),2023
846,0.37,7.42,10.72,136.0,2708.0,65.2,Total,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2018
847,0.35,8.14,10.21,128.0,2973.0,62.1,Total,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2019
848,0.29,5.38,8.07,105.0,1970.0,49.2,Total,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2020
849,0.3,7.41,9.76,109.0,2704.0,59.4,Total,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2021
850,0.33,7.84,9.83,119.0,2862.0,59.8,Total,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2022
851,0.33,6.46,9.2,120.0,2359.0,56.0,Total,Population 6 years or older,Passenger car (passenger),Value,Flevoland (PV),2023
852,0.33,7.15,9.57,122.0,2609.0,58.2,Total,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2018
853,0.32,6.16,9.75,118.0,2248.0,59.3,Total,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2019
854,0.25,4.69,6.82,91.0,1715.0,41.6,Total,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2020
855,0.26,5.39,7.92,95.0,1969.0,48.2,Total,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2021
856,0.3,5.95,9.25,111.0,2173.0,56.2,Total,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2022
857,0.33,6.98,9.47,119.0,2548.0,57.6,Total,Population 6 years or older,Passenger car (passenger),Value,Gelderland (PV),2023
858,0.3,6.89,9.66,110.0,2516.0,58.7,Total,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2018
859,0.32,7.85,10.15,116.0,2867.0,61.7,Total,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2019
860,0.22,4.51,6.39,82.0,1652.0,39.0,Total,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2020
861,0.25,5.69,8.19,91.0,2076.0,49.8,Total,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2021
862,0.26,6.08,8.31,96.0,2221.0,50.6,Total,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2022
863,0.28,6.61,8.8,103.0,2414.0,53.5,Total,Population 6 years or older,Passenger car (passenger),Value,Utrecht (PV),2023
864,0.29,6.3,8.8,106.0,2298.0,53.5,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2018
865,0.26,5.37,8.32,96.0,1960.0,50.6,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2019
866,0.2,3.96,5.98,72.0,1450.0,36.5,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2020
867,0.23,4.79,7.55,84.0,1748.0,45.9,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2021
868,0.24,5.02,7.73,87.0,1831.0,47.0,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2022
869,0.26,5.18,8.1,96.0,1889.0,49.3,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Holland (PV),2023
870,0.29,5.8,8.54,106.0,2116.0,52.0,Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2018
871,0.3,6.02,9.02,109.0,2196.0,54.9,Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2019
872,0.22,4.11,6.67,81.0,1504.0,40.7,Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2020
873,0.24,4.89,7.59,88.0,1784.0,46.2,Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2021
874,0.25,4.77,7.44,91.0,1741.0,45.3,Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2022
875,0.27,5.41,8.41,99.0,1976.0,51.2,Total,Population 6 years or older,Passenger car (passenger),Value,Zuid-Holland (PV),2023
876,0.34,5.72,8.01,123.0,2088.0,48.7,Total,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2018
877,0.35,8.38,10.86,128.0,3059.0,66.1,Total,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2019
878,0.22,5.38,6.61,82.0,1969.0,40.3,Total,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2020
879,0.28,5.15,7.24,101.0,1878.0,44.0,Total,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2021
880,0.27,5.03,7.95,99.0,1835.0,48.4,Total,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2022
881,0.29,5.93,8.03,107.0,2165.0,48.8,Total,Population 6 years or older,Passenger car (passenger),Value,Zeeland (PV),2023
882,0.35,6.46,9.12,127.0,2356.0,55.5,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2018
883,0.33,6.29,8.74,120.0,2298.0,53.2,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2019
884,0.27,4.27,6.55,100.0,1562.0,40.0,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2020
885,0.27,4.36,7.06,98.0,1590.0,43.0,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2021
886,0.31,5.28,8.11,112.0,1927.0,49.3,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2022
887,0.33,6.51,9.36,121.0,2377.0,56.9,Total,Population 6 years or older,Passenger car (passenger),Value,Noord-Brabant (PV),2023
888,0.39,6.73,9.67,141.0,2457.0,58.9,Total,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2018
889,0.38,6.57,9.12,137.0,2397.0,55.5,Total,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2019
890,0.26,4.12,6.56,96.0,1509.0,40.0,Total,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2020
891,0.29,4.26,6.86,107.0,1557.0,41.7,Total,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2021
892,0.33,5.17,7.85,122.0,1887.0,47.8,Total,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2022
893,0.36,5.1,8.16,133.0,1863.0,49.6,Total,Population 6 years or older,Passenger car (passenger),Value,Limburg (PV),2023
894,0.24,5.33,7.86,89.0,1945.0,47.8,Total,Population 6 years or older,Passenger car (passenger),Value,Extremely urbanised,2018
895,0.23,4.73,7.16,84.0,1727.0,43.5,Total,Population 6 years or older,Passenger car (passenger),Value,Extremely urbanised,2019
896,0.18,3.67,5.8,67.0,1344.0,35.4,Total,Population 6 years or older,Passenger car (passenger),Value,Extremely urbanised,2020
897,0.2,4.29,6.74,75.0,1566.0,41.0,Total,Population 6 years or older,Passenger car (passenger),Value,Extremely urbanised,2021
898,0.21,4.54,7.04,77.0,1657.0,42.8,Total,Population 6 years or older,Passenger car (passenger),Value,Extremely urbanised,2022
899,0.23,4.67,7.23,83.0,1703.0,44.0,Total,Population 6 years or older,Passenger car (passenger),Value,Extremely urbanised,2023
900,0.32,6.54,9.24,117.0,2387.0,56.2,Total,Population 6 years or older,Passenger car (passenger),Value,Strongly urbanised,2018
901,0.33,6.83,9.83,121.0,2494.0,59.8,Total,Population 6 years or older,Passenger car (passenger),Value,Strongly urbanised,2019
902,0.25,4.27,6.75,91.0,1564.0,41.2,Total,Population 6 years or older,Passenger car (passenger),Value,Strongly urbanised,2020
903,0.27,5.34,8.01,98.0,1949.0,48.7,Total,Population 6 years or older,Passenger car (passenger),Value,Strongly urbanised,2021
904,0.28,5.44,8.19,102.0,1986.0,49.8,Total,Population 6 years or older,Passenger car (passenger),Value,Strongly urbanised,2022
905,0.32,6.29,9.23,116.0,2296.0,56.1,Total,Population 6 years or older,Passenger car (passenger),Value,Strongly urbanised,2023
